Bourges,0,322,328,151,28,1
Bourg-lès-Valence,0,25,22,9,1,0
Bourgoin-Jallieu,0,42,41,9,2,0
Bouxwiller,0,1,1,1,0,0
Bras-Panon,0,8,17,6,0,0
Brens,0,3,7,3,0,0
Bressuire,0,40,37,12,3,1
Brest,0,1158,1655,1198,435,38
Brétigny-sur-Orge,0,48,27,9,0,0
Briançon,0,6,6,1,0,0
Brie-Comte-Robert,0,29,23,5,0,0
Brignoles,0,9,17,8,0,0
Brive-la-Gaillarde,0,255,196,69,15,0
Brives-Charensac,0,17,7,3,0,0
Bron,0,868,981,702,286,20
Bruay-la-Buissière,0,51,27,11,1,0
Brumath,0,7,17,11,3,0
Brunoy,0,42,32,22,1,0
Bruz,0,45,129,116,29,1
Buc,0,25,21,14,2,1
Bures-sur-Yvette,0,21,7,4,3,0
Bussy-Saint-Georges,0,6,8,1,0,0
Buxières-lès-Villiers,0,7,7,3,0,0
Cachan,0,205,380,346,76,2
Caen,0,1685,1866,1462,549,39
Cagnes-sur-Mer,0,17,11,2,0,0
Cahors,0,66,55,34,12,0
Calais,0,320,285,181,65,2
Camblanes-et-Meynac,0,0,2,5,4,0
Cambrai,0,243,202,91,30,1
Canet-en-Roussillon,0,6,5,0,0,0
Cannes,2,131,218,234,102,9
Canteleu,0,14,15,18,5,0
Capbreton,0,1,4,0,0,0
Capesterre-Belle-Eau,0,5,10,3,0,0
Carcassonne,0,132,118,59,4,0
Carentan-les-Marais,0,8,5,1,0,0
Carhaix-Plouguer,0,10,4,1,0,0
Carmaux,0,14,14,1,2,0
Carpentras,0,45,26,13,2,0
Carquefou,0,121,367,263,48,0
Carvin,0,11,3,3,0,0
Casablanca,0,13,6,1,0,0
Castanet-Tolosan,0,19,30,33,24,9
Castelnaudary,0,25,18,3,0,0
Castelnau-le-Lez,0,29,47,20,7,0
Castelsarrasin,0,16,22,6,0,0
Castres,0,81,154,82,31,5
Caudry,0,8,9,5,1,0
Cavaillon,0,12,7,3,2,0
Cayenne,4,708,359,123,20,1
Cenon,0,9,15,7,2,0
Céret,0,1,7,0,0,0
Cergy,0,1457,1364,955,297,16
Cerny,0,5,14,13,2,0
Cesson-Sévigné,0,25,20,13,3,0
Chailly-en-Brie,0,5,4,1,0,0
Châlette-sur-Loing,0,24,17,5,1,0
Challans,0,19,11,7,0,0
Châlons-en-Champagne,1,139,140,68,12,0
Chalon-sur-Saône,0,168,129,53,14,1
Chamalières,2,41,36,18,0,0
Chamarandes-Choignes,0,2,6,3,0,0
Chambéry,0,91,113,101,33,1
Chambray-lès-Tours,0,97,140,64,17,2
Champagne-sur-Seine,0,41,37,13,6,0
Champagnole,0,19,9,1,0,0
Champigny-sur-Marne,0,56,40,6,3,0
Champs-sur-Marne,0,66,120,73,11,0
Chantilly,0,45,24,10,2,0
Chantonnay,0,5,2,1,0,0
Charleville-Mézières,0,230,171,74,14,0
Charolles,0,7,8,1,0,0
Chartres,0,126,136,90,16,1
Chasseneuil-du-Poitou,0,98,47,28,7,0
Chasseneuil-sur-Bonnieure,0,4,1,0,0,0
Châteaubriant,0,25,15,14,1,0
Château-Chinon (Ville),0,15,9,7,3,0
Châteaudun,0,24,17,7,0,0
Château-Gontier-sur-Mayenne,0,13,5,2,0,0
Châteaulin,0,15,17,5,1,0
Châteauneuf-de-Galaure,0,7,6,2,1,0
Château-Renault,0,1,0,0,0,0
Châteauroux,0,156,122,58,9,0
Château-Salins,0,12,16,0,1,0
Château-Thierry,1,32,28,11,5,0
Châtellerault,0,73,70,21,1,0
Châtenay-Malabry,0,88,49,14,3,0
Châtillon-sur-Seine,0,4,3,2,1,0
Chaumont,0,75,66,39,7,0
Chauny,0,50,53,25,0,1
Chauvigny,0,1,0,0,0,0
Chelles,0,65,46,17,0,0
Chemillé-en-Anjou,0,4,8,1,0,0
Chennevières-sur-Marne,0,43,34,6,1,0
Chenôve,0,2,2,6,1,0
Chéraute,0,1,1,1,0,0
Cherbourg-en-Cotentin,0,111,168,90,36,2
Cherves-Richemont,0,2,5,1,0,0
Chevilly-Larue,0,9,10,7,3,0
Chinon,0,18,10,2,1,0
Chirongui,0,40,17,6,0,0
Choisy-le-Roi,0,11,6,2,1,0
Cholet,0,204,226,129,48,0
Civray,0,4,3,0,0,0
Clamart,0,19,15,11,3,0
Clermont,0,37,33,16,4,0
Clermont-Ferrand,6,1940,1950,1372,553,47
Clermont-l'Hérault,0,13,7,1,0,0
Clichy,2,245,340,216,34,1
Clichy-sous-Bois,0,13,9,3,0,0
Clisson,0,9,3,1,1,0
Cluny,0,8,9,10,1,0
Cluses,0,26,5,6,3,0
Cognac,0,14,8,7,2,0
Colmar,0,177,288,183,40,1
