Poligny,Très bien avec félicitations du jury,0
Neufchâtel-en-Bray,Sans mention,6
Saint-Amand-les-Eaux,Sans information,0
Pessac,Très bien avec félicitations du jury,115
Gignac-la-Nerthe,Assez bien,4
Nemours,Très bien,0
Toulouse,Bien,4357
Sélestat,Assez bien,53
Malzéville,Assez bien,23
Gourdan-Polignan,Bien,2
Guer,Bien,6
Crest,Très bien avec félicitations du jury,0
Cerny,Bien,13
Villeneuve-Saint-Georges,Sans mention,28
Cherves-Richemont,Sans information,0
Pau,Bien,481
Villers-lès-Nancy,Bien,104
Aubière,Bien,255
Basse-Terre,Très bien avec félicitations du jury,2
Cournon-d'Auvergne,Assez bien,6
Dax,Bien,24
Hasparren,Assez bien,7
Marseille  8e  Arrondissement,Très bien,41
Alfortville,Assez bien,20
Sucy-en-Brie,Très bien,2
Rezé,Bien,112
Saint-Jean-de-la-Ruelle,Assez bien,17
Lyon 3e  Arrondissement,Très bien avec félicitations du jury,3
Sallanches,Très bien avec félicitations du jury,0
Rumilly,Très bien,0
Fréjus,Sans mention,6
Rouffach,Très bien,1
Décines-Charpieu,Sans information,0
Pau,Très bien,132
Segré-en-Anjou Bleu,Assez bien,6
Prémontré,Sans information,0
Forbach,Assez bien,44
Aubagne,Assez bien,40
Lesparre-Médoc,Très bien,1
Evian-les-Bains,Sans mention,4
Pont-Audemer,Très bien,2
Luisant,Sans information,0
Oullins,Très bien avec félicitations du jury,0
Romorantin-Lanthenay,Très bien,0
Chelles,Très bien avec félicitations du jury,0
Torcy,Sans mention,33
Clamart,Assez bien,15
Vernon,Bien,9
Les Andelys,Sans mention,4
L'Isle-Jourdain,Très bien avec félicitations du jury,0
Besançon,Très bien avec félicitations du jury,31
Saint-Lô,Très bien,10
Marseille  1er Arrondissement,Très bien avec félicitations du jury,41
Paris 12e  Arrondissement,Sans information,0
Morcenx-la-Nouvelle,Bien,0
Châteauroux,Très bien avec félicitations du jury,0
Bayeux,Sans mention,7
Gennevilliers,Sans information,0
Souillac,Sans information,0
Camblanes-et-Meynac,Très bien avec félicitations du jury,0
Denain,Très bien avec félicitations du jury,0
Saint-Louis,Assez bien,70
Ingersheim,Sans mention,5
Meaux,Bien,127
Fontannes,Assez bien,24
Boulogne-sur-Mer,Sans mention,238
Thann,Très bien avec félicitations du jury,0
Vierzon,Sans information,0
Beaugency,Sans information,0
Douvres-la-Délivrande,Sans mention,5
Castres,Sans mention,81
Pézenas,Bien,8
Gron,Sans information,0
Sainte-Marie,Bien,26
Vitry-le-François,Très bien avec félicitations du jury,0
Le Raincy,Assez bien,61
Saint-Yrieix-la-Perche,Bien,2
Argenteuil,Assez bien,165
Saint-Girons,Sans information,0
Fontaines,Bien,3
Saint-Leu,Bien,1
Paris 12e  Arrondissement,Très bien,449
Maule,Bien,1
Aubin,Très bien avec félicitations du jury,0
Gap,Assez bien,88
Coulounieix-Chamiers,Très bien,3
Dives-sur-Mer,Sans information,0
Talange,Sans information,0
Charleville-Mézières,Assez bien,171
Lanester,Sans information,0
Avallon,Très bien,1
Palaiseau,Bien,4
Brens,Sans information,0
Ahun,Bien,3
Montluçon,Assez bien,147
Mornand-en-Forez,Très bien,0
Bayonne,Bien,221
Dinard,Assez bien,24
Paris 13e  Arrondissement,Sans mention,462
Porcheville,Très bien avec félicitations du jury,0
Thillois,Sans mention,15
Saintes,Très bien avec félicitations du jury,0
Lavelanet,Sans mention,3
Vélizy-Villacoublay,Très bien avec félicitations du jury,0
Lattes,Assez bien,8
Louhans,Assez bien,2
Dol-de-Bretagne,Sans information,0
Carpentras,Très bien avec félicitations du jury,0
Chemillé-en-Anjou,Bien,1
Le Breuil-sur-Couze,Très bien avec félicitations du jury,0
Fontaines,Sans information,0
Alençon,Très bien,11
Bohain-en-Vermandois,Très bien,0
Le Moule,Assez bien,1
Saint-Cyran-du-Jambot,Bien,1
Jacou,Très bien,0
Paris  5e  Arrondissement,Très bien,2276
Argelès-sur-Mer,Sans mention,31
Moulins,Très bien,3
Palaiseau,Très bien avec félicitations du jury,2
Vallon-Pont-d'Arc,Assez bien,1
Longperrier,Sans information,0
Montfort-sur-Meu,Très bien avec félicitations du jury,0
Béziers,Bien,112
Malakoff,Sans information,0
Wormhout,Très bien,2
Miramas,Sans information,0
Rombas,Assez bien,15
Narbonne,Bien,79
Le Chesnay-Rocquencourt,Sans mention,4
Capesterre-Belle-Eau,Bien,3
